ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
1,2,2,-1,-1,-2,-2
2,-1,2,0,0,0,2
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,-1,0,-1,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,-1,-1,0,0,-1
9,0,0,2,0,0,0
10,-2,-2,-2,-2,-1,-1
11,0,0,2,0,0,-1
12,-1,-1,-1,-1,-1,2
13,-1,0,-1,-1,-1,-1
14,1,2,2,0,0,2
15,0,0,0,0,0,0
16,1,2,0,0,0,0
17,0,0,2,2,2,2
18,0,0,0,-1,-1,-1
19,1,-2,-2,-2,-2,-2
20,1,-2,-2,-2,-2,-2
21,0,0,0,0,0,-1
22,-1,-1,-1,-1,-1,-1
23,2,0,0,2,2,2
24,-2,-2,-2,-2,-2,-2
25,0,0,0,-1,0,0
26,0,0,0,0,0,0
27,1,-2,-1,-1,-1,-1
28,0,0,0,0,0,0
29,-1,-1,-1,-1,-1,-1
30,0,0,0,0,0,0
31,-1,-1,-1,-1,-1,-1
32,2,0,0,0,0,0
33,0,0,0,0,0,0
34,-2,-2,-2,-2,-2,-2
35,-2,-2,-2,-2,-2,-2
36,-1,-1,-2,-2,-2,-1
37,0,0,0,0,0,0
38,0,0,0,0,0,-1
39,1,-1,-1,-2,-2,-2
40,-1,-1,2,-1,0,-1
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,2,0,0
46,-2,-2,-2,-2,-2,-2
47,0,0,2,-1,0,0
48,0,0,-1,0,0,-2
49,-1,-1,-1,-1,-1,-1
50,0,0,0,0,0,0
51,1,2,2,2,2,0
52,0,0,0,0,0,0
53,-2,-2,-2,-2,-2,-2
54,1,2,0,0,0,0
55,2,0,0,0,0,0
56,-2,-2,-2,-2,-2,-2
57,0,0,0,-1,-1,-1
58,0,0,0,0,0,0
59,-1,3,2,2,2,2
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,-1
63,2,2,2,2,2,2
64,0,0,0,-2,-2,-2
65,-1,-1,-2,-2,-1,-1
66,-2,-2,-2,-1,2,2
67,2,2,2,0,0,0
68,2,-1,-1,-1,-1,-1
69,1,-2,-2,-1,2,-1
70,2,0,0,0,0,0
71,-1,-1,-1,-1,-1,-1
72,2,2,2,2,2,2
73,-1,-1,-1,-1,2,-1
74,1,-2,-1,-1,-1,-1
75,-1,-1,-1,-1,-1,-1
76,0,0,2,0,0,0
77,-1,0,0,0,0,0
78,-1,-1,-1,-1,-1,-1
79,0,0,0,0,0,0
80,1,-2,-2,-2,-2,-2
81,0,0,0,0,0,0
82,0,0,0,0,0,-1
83,0,0,0,0,0,0
84,0,0,2,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,-1,-1,2,0,-1,-1
88,0,0,0,0,0,-1
89,0,0,0,-1,-1,-1
90,2,2,0,0,0,2
91,2,2,2,2,2,2
92,-1,-1,-1,0,0,-2
93,-2,-2,-2,-2,-2,-2
94,-1,-1,-1,-1,-1,-2
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,-1,-1,-1,-1,-1,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,-1
